n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
100,4,0.35,0.5,0.9086994893239025,2,0.9082085981819424,0.9089264036364926,6.0,0.9084540437529225,4.0
200,3,0.3,0.35,0.9086994881559595,3,0.9082085981819424,0.9089524419914998,6.0,0.908454043168951,5.0
300,3,0.25,0.25,0.9085115229029197,5,0.9080035540974642,0.9087428506234864,8.0,0.908257538500192,10.0
200,4,0.25,0.35,0.9083235564819369,7,0.9080035540974642,0.9086805343273846,8.0,0.9081635552897005,11.0
300,4,0.5,0.15,0.9056407515517408,49,0.9052696329710888,0.9058875878872374,31.0,0.9054551922614148,50.0
300,3,0.25,0.5,0.9082551956064037,9,0.9083452942382613,0.9090016254459672,4.0,0.9083002449223325,9.0
500,4,0.5,0.15,0.9036072844235219,56,0.9042444125486979,0.9047649053465772,35.0,0.9039258484861099,56.0
100,5,0.35,0.15,0.9076058764915158,26,0.9083452942382613,0.9090733821117395,4.0,0.9079755853648885,16.0
400,4,0.25,0.35,0.9072299261304042,31,0.9069783336750735,0.9076106666205284,17.0,0.9071041299027389,33.0
200,5,0.35,0.15,0.9071786744528292,33,0.907593465928508,0.9082340893510266,12.0,0.9073860701906686,27.0
100,5,0.5,0.15,0.9072128461310227,32,0.906909985646914,0.9075548223472456,18.0,0.9070614158889684,34.0
300,3,0.25,0.35,0.9086140414413296,4,0.9082085981819424,0.9088981347745971,6.0,0.908411319811636,6.0
500,3,0.25,0.15,0.9077938242254096,22,0.9079352060693049,0.9086313157282119,9.0,0.9078645151473572,18.0
100,4,0.5,0.5,0.9080159599886999,16,0.9067732895905953,0.9074213042044941,20.0,0.9073946247896476,26.0
500,4,0.35,0.15,0.9057261807472248,44,0.9058847652245233,0.9064493668725117,27.0,0.905805472985874,45.0
500,5,0.3,0.5,0.9044104017850281,54,0.9053379809992482,0.9058448366356955,30.0,0.9048741913921381,53.0
400,4,0.35,0.35,0.9056578245434639,47,0.9064315494497984,0.9069920244747951,24.0,0.9060446869966312,44.0
